work_id,composer,title,catalog_system,catalog_number,recording_count
work_383178237e04,"Haydn, Joseph",Applause,,,1
work_9101b4f882ec,"Haydn, Joseph","Piano Sonata No.60 in C major, H.XVI/50",,,1
work_16ca8c7e4669,"Haydn, Joseph",Symphony No.103 in E flat major 'Drum Roll',,,1
work_bec0d4f8646e,"Haydn, Joseph",Symphony No.104 in D major 'London',,,1
work_91ed7a214fc7,"Haydn, Joseph",Symphony No.92 in G major,Hob,I:92,1
work_3d1d09650ac2,"Haydn, Joseph",Piano Concerto in D,Hob,XVIII:11,1
work_0f1871da9e72,"Ives, Charles",Slowly,Op,19,1
work_af3a64627f00,"Kodály, Zoltán",Dances of Galánta,,,1
work_03b1109144a2,"Mendelssohn, Felix",Applause,,,1
work_04f115193382,"Mendelssohn, Felix","Mendelssohn, Ein Sommernachtstraum",Op,21,1
work_0ab87b846bf5,"Mendelssohn, Felix","Mendelssohn, Die Hebriden",Op,26,1
work_ccd0feb59b38,"Messiaen, Olivier",The Complete Organ Works,,,1
work_49063b58acdd,"Mozart, Wolfgang Amadeus",Applause,,,2
work_06d206524eaf,"Mozart, Wolfgang Amadeus",Piano Concerto No.1 in F major,K,37,1
work_902e988cab69,"Mozart, Wolfgang Amadeus",Piano Concerto No.2 in B flat major,K,39,1
work_f74c3dd746c7,"Mozart, Wolfgang Amadeus",Piano Concerto No.3 in D major,K,40,1
work_cc50403fd9a3,"Mozart, Wolfgang Amadeus",Piano Concerto No.4 in G major,K,41,1
work_dd793ba33bcd,"Mozart, Wolfgang Amadeus",Piano Concerto No.5 in D major,K,175,1
work_c1f2edb5a6ce,"Mozart, Wolfgang Amadeus",Piano Concerto No.6 in B flat major,K,238,1
work_dbe203aa3ccb,"Mozart, Wolfgang Amadeus",Piano Concerto No.8 in C major,K,246,1
work_b8bd5c07fa3f,"Mozart, Wolfgang Amadeus",Piano Concerto No.9 in E flat major,K,271,1
work_dcb7e2707cfc,"Mozart, Wolfgang Amadeus",The Complete Concerto Recordings,K,382,2
work_8050f3f522b2,"Mozart, Wolfgang Amadeus",Piano Concerto No.11 in F major,K,413,1
work_e5138c90b333,"Mozart, Wolfgang Amadeus",Piano Concerto No. 12 in A,K,414,2
work_30d33db866c7,"Mozart, Wolfgang Amadeus",Piano Concerto No.13 in C major,K,415,1
work_5735dbc36ebc,"Mozart, Wolfgang Amadeus",Piano Concerto No.14 in E flat major,K,449,1
work_d36e34532e80,"Mozart, Wolfgang Amadeus",Piano Concerto No.15 in B flat major,K,450,1
work_3d1823925f7e,"Mozart, Wolfgang Amadeus",Piano Concerto No.16 in D major,K,451,1
work_799daf8c5ee3,"Mozart, Wolfgang Amadeus",Piano Concerto No.17 in G major,K,453,1
work_2cc267d3ce20,"Mozart, Wolfgang Amadeus",Piano Concerto No.18 in B flat major,K,456,1
work_982bdda6edd2,"Mozart, Wolfgang Amadeus",Piano Concerto No.19 in F major,K,459,1
work_40d9f0e0564e,"Mozart, Wolfgang Amadeus",Piano Concerto No. 20 in D Minor,K,466,2
work_6655e07f0d19,"Mozart, Wolfgang Amadeus",Piano Concerto No.21 in C major,K,467,1
work_bdef10326f96,"Mozart, Wolfgang Amadeus",Piano Concerto No.22 in E flat major,K,482,1
work_fc2aaf816511,"Mozart, Wolfgang Amadeus",Piano Concerto No.23 in A major,K,488,1
work_c85f615cd4e2,"Mozart, Wolfgang Amadeus",Piano Concerto No.24 in C minor,K,491,1
work_ae686bec5099,"Mozart, Wolfgang Amadeus",Piano Concerto No.25 in C major,K,503,1
work_f5bb50f93bfb,"Mozart, Wolfgang Amadeus",Piano Concerto No.26 in D major,K,537,1
work_9a05ab3f0468,"Mozart, Wolfgang Amadeus",Symphony No.40 in G minor,K,550,1
work_2bf5581c4a19,"Mozart, Wolfgang Amadeus",Piano Concerto No.27 in B flat major,K,595,1
work_0754e45a41fa,"Mozart, Wolfgang Amadeus","Mozart, Requiem in D minor",K,626,1
work_12087e0dfa70,"Prokofiev, Sergei",Piano Sonata No.6 in A major,Op,82,1
work_167272e31893,"Rachmaninov, Sergei",Concerto No. 2,Op,18,1
work_47943b4593b3,"Rachmaninov, Sergei",Piano Concerto No. 3 in D Minor,Op,30,1
work_cd8258813ff0,"Rossini, Gioachino",Applause,,,1
work_432f8a70a991,"Rossini, Gioachino","Rossin, Guillaume Tell",,,1
work_39a642f6e220,"Rossini, Gioachino","Rossini, Semiramide",,,1
work_45f10aa672d8,"Rossini, Gioachino","Rossini, The Silken Ladder",,,1
work_3bceb18c863f,"Rossini, Gioachino","Rossini, The Thieving Magpie",,,1
work_c020aa844e4b,"Schubert, Franz",Applause,,,2
work_fb06e01ac2a5,"Schubert, Franz","Schubert, Rosamunde",D,644,1
work_e064c6f269ef,"Schubert, Franz",Allegro Con Fuoco Ma Non Troppo,D,760,1
work_f1b7094d9ea1,"Schubert, Franz",Symphony No.9 in C major,D,944,1
work_c3e60fa3bed9,"Schubert, Franz",Schubert Piano Sonata,D,958,1
work_de971e628cd7,"Schubert, Franz",Molto moderato,D,960,1
work_6fa89844094c,"Schumann, Robert",Applause,,,1
work_13f72f7337eb,"Schumann, Robert",Concerto for Piano and Orchestra in A Minor,Op,54,1
work_6badb0d170b3,"Schumann, Robert",Symphony No.2 in C major,Op,61,1
work_da4efeab0744,"Schumann, Robert",Symphony No.3 in E flat major,Op,97,1
work_bb195963a3f0,"Schumann, Robert",Symphony No.4 in D minor,Op,120,1
work_45e156ee377a,"Shostakovich, Dmitri",Piano Concerto No. 1 in C Minor,Op,35,1
work_90aea4395b7f,"Smetana, Bedrich",Applause,,,1
work_629cc3b1ea49,"Smetana, Bedrich","Smetana, Vltava from 'Ma vlast'",,,1
work_5eec96f8d4ab,"Strauss, Richard",Applause,,,1
work_9b0903dbd83f,"Strauss, Richard","Strauss, Die fledermaus",,,1
work_a916e465e7a3,"Stravinsky, Igor",Applause,,,1
work_478ac94f48a3,"Stravinsky, Igor",Chinese March,,,1
work_9d27d76371fe,"Stravinsky, Igor",Funeral march and Finale,,,1
work_ee569cb41691,"Stravinsky, Igor",Song of the Nightingale,,,1
work_e1a58e077130,"Stravinsky, Igor",Stravinsky Le Chant du Rossignol CSO/Reiner -bit,,,1
work_efa23828539c,"Stravinsky, Igor","Stravinsky, Symphony of Psalms",,,1
work_2b72fd081735,"Stravinsky, Igor",The Emperor's displeasure at the departure of the real nightingale,,,1
work_8a20879c0a57,"Stravinsky, Igor",The Emperor's sickroom,,,1
work_d06180194265,"Stravinsky, Igor",The mechanical nightingale,,,1
work_dca90404ce3a,"Stravinsky, Igor",The real nightingale returns to thwart Death,,,1
work_97ec1474878a,"Verdi, Giuseppe",Applause,,,1
work_0b59c72a1361,"Verdi, Giuseppe","Mozart, Don Giovanni",,,1
work_24a4f857c7c6,"Verdi, Giuseppe","Verdi, La forza del destino",,,1
work_91e67beadfd4,"Verdi, Giuseppe","Verdi, Messa da Requiem",,,1
work_d73964bf96e0,"Wagner, Richard",Applaus,,,1
work_48ab6ba02710,"Wagner, Richard",Applause,,,1
